First_Name,Last_Name,State,Party_Name,Total_Raised,Full_Name,State_Abbrv,Party
Lamar,Alexander,Tennessee,Republican,8031431,Lamar Alexander,TN,R
Tammy,Baldwin,Wisconsin,Democrat,30898416,Tammy Baldwin,WI,D
John,Barrasso,Wyoming,Republican,7380997,John A Barrasso,WY,R
Michael,Bennet,Colorado,Democrat,17579297,Michael F Bennet,CO,D
Richard,Blumenthal,Connecticut,Democrat,9049428,Richard Blumenthal,CT,D
Roy,Blunt,Missouri,Republican,16251752,Roy Blunt,MO,R
Cory,Booker,New Jersey,Democrat,26199872,Cory Booker,NJ,D
John,Boozman,Arkansas,Republican,4918549,John Boozman,AR,R
Sherrod,Brown,Ohio,Democrat,28659987,Sherrod Brown,OH,D
Richard,Burr,North Carolina,Republican,12825614,Richard Burr,NC,R
Maria,Cantwell,Washington,Democrat,11667705,Maria Cantwell,WA,D
ShelleyMoore,Capito,West Virginia,Republican,8566606,ShelleyMoore Capito,WV,R
Ben,Cardin,Maryland,Democrat,5071964,Ben Cardin,MD,D
Tom,Carper,Delaware,Democrat,4262961,Tom Carper,DE,D
Bob,Casey,Pennsylvania,Democrat,21266619,Bob Casey,PA,D
Bill,Cassidy,Louisiana,Republican,19489269,Bill Cassidy,LA,R
Susan,Collins,Maine,Republican,8181090,Susan Collins,ME,R
Chris,Coons,Delaware,Democrat,5872276,Chris Coons,DE,D
Bob,Corker,Tennessee,Republican,2361745,Bob Corker,TN,R
John,Cornyn,Texas,Republican,18542242,John Cornyn,TX,R
Tom,Cotton,Arkansas,Republican,17454786,Tom Cotton,AR,R
Mike,Crapo,Idaho,Republican,6872245,Mike Crapo,ID,R
Ted,Cruz,Texas,Republican,45260806,Ted Cruz,TX,R
Steven,Daines,Montana,Republican,8854930,Steven Daines,MT,R
Joe,Donnelly,Indiana,Democrat,17174180,Joe Donnelly,IN,D
Tammy,Duckworth,Illinois,Democrat,18560735,Tammy Duckworth,IL,D
Dick,Durbin,Illinois,Democrat,10886840,Dick Durbin,IL,D
Mike,Enzi,Wyoming,Republican,3614589,Mike Enzi,WY,R
Joni,Ernst,Iowa,Republican,14649046,Joni Ernst,IA,R
Dianne,Feinstein,California,Democrat,16092233,Dianne Feinstein,CA,D
Deb,Fischer,Nebraska,Republican,6389119,Deb Fischer,NE,R
Jeff,Flake,Arizona,Republican,4866082,Jeff Flake,AZ,R
Cory,Gardner,Colorado,Republican,14766949,Cory Gardner,CO,R
Kirsten,Gillibrand,New York,Democrat,20360118,Kirsten Gillibrand,NY,D
Lindsey,Graham,South Carolina,Republican,11873431,Lindsey Graham,SC,R
Chuck,Grassley,Iowa,Republican,9883101,Chuck Grassley,IA,R
Kamala,Harris,California,Democrat,22756387,Kamala D Harris,CA,D
Maggie,Hassan,New Hampshire,Democrat,19829218,Maggie Hassan,NH,D
Orrin,Hatch,Utah,Republican,4988345,Orrin G Hatch,UT,R
Martin,Heinrich,New Mexico,Democrat,8552893,Martin Heinrich,NM,D
Heidi,Heitkamp,North Dakota,Democrat,31025854,Heidi Heitkamp,ND,D
Dean,Heller,Nevada,Republican,15090764,Dean Heller,NV,R
Mazie,Hirono,Hawaii,Democrat,4867005,Mazie K Hirono,HI,D
John,Hoeven,North Dakota,Democrat,3890166,John Hoeven,ND,D
ChrisVan,Hollen,Maryland,Democrat,12498595,ChrisVan Hollen,MD,D
Cindy,Hyde-Smith,Mississippi,Republican,5161798,Cindy Hyde-Smith,MS,R
James,Inhofe,Oklahoma,Republican,4646940,James M Inhofe,OK,R
Johnny,Isakson,Georgia,Republican,10762336,Johnny Isakson,GA,R
Ron,Johnson,Wisconsin,Republican,20248897,Ron Johnson,WI,R
Doug,Jones,Alabama,Democrat,25029181,Doug Jones,AL,D
Tim,Kaine,Virginia,Democrat,21472986,Tim Kaine,VA,D
John,Kennedy,Louisiana,Republican,9029283,John Kennedy,LA,R
Angus,King,Maine,Independent/Other,5339838,Angus King,ME,I
Amy,Klobuchar,Minnesota,Democrat,10681536,Amy Klobuchar,MN,D
Jon,Kyl,Arizona,Republican,0,Jon Kyl,AZ,R
James,Lankford,Oklahoma,Republican,7870202,James Lankford,OK,R
Patrick,Leahy,Vermont,Democrat,4940984,Patrick Leahy,VT,D
Mike,Lee,Utah,Republican,6048504,Mike Lee,UT,R
Joe,Manchin,West Virginia,Democrat,9375411,Joe Manchin,WV,D
Ed,Markey,Massachusetts,Democrat,21069088,Ed Markey,MA,D
CatherineCortez,Masto,Nebraska,Democrat,21772595,CatherineCortez Masto,NE,D
Clair,McCaskill,Missouri,Democrat,38934452,Clair McCaskill,MO,D
Mitch,McConnell,Kentucky,Republican,26225399,Mitch McConnell,KY,R
Robert,Menendez,New Jersey,Democrat,12271086,Robert Menendez,NJ,D
Jeff,Merkley,Oregon,Democrat,14521093,Jeff Merkley,OR,D
Jerry,Moran,Kansas,Republican,6592336,Jerry Moran,KS,R
Lisa,Murkowski,Alaska,Republican,6294040,Lisa Murkowski,AK,R
Christopher,Murphy,Connecticut,Democrat,15032338,Christopher S Murphy,CT,D
Patty,Murray,Washington,Democrat,14439587,Patty Murray,WA,D
Bill,Nelson,Florida,Democrat,33628769,Bill Nelson,FL,D
Rand,Paul,Kentucky,Republican,11352366,Rand Paul,KY,R
David,Perdue,Georgia,Republican,16971655,David Perdue,GA,R
Gary,Peters,Michigan,Democrat,12233691,Gary Peters,MI,D
Rob,Portman,Ohio,Republican,26328525,Rob Portman,OH,R
Jack,Reed,Rhode Island,Democrat,4408613,Jack Reed,RI,D
James,Risch,Idaho,Republican,2435331,James E Risch,ID,R
Pat,Roberts,Kansas,Republican,7646348,Pat Roberts,KS,R
Mike,Rounds,South Dakota,Democrat,6105119,Mike Rounds,SD,D
Marco,Rubio,Florida,Republican,22656696,Marco Rubio,FL,R
Bernie,Sanders,Vermont,Independent/Other,11795106,Bernie Sanders,VT,I
Ben,Sasse,Nebraska,Republican,8476695,Ben Sasse,NE,R
Brian,Schatz,Hawaii,Democrat,10853661,Brian Schatz,HI,D
Charles,Schumer,New York,Democrat,24078285,Charles E Schumer,NY,D
Tim,Scott,South Carolina,Republican,14334118,Tim Scott,SC,R
Jeanne,Shaheen,New Hampshire,Democrat,16663863,Jeanne Shaheen,NH,D
Richard,Shelby,Alabama,Republican,4141799,Richard C Shelby,AL,R
Tina,Smith,Minnesota,Democrat,9147179,Tina Smith,MN,D
Debbie,Stabenow,Michigan,Democrat,17570218,Debbie Stabenow,MI,D
Dan,Sullivan,Alaska,Republican,9525919,Dan Sullivan,AK,R
Jon,Tester,Montana,Democrat,20944242,Jon Tester,MT,D
John,Thune,South Dakota,Democrat,10467075,John Thune,SD,D
Thom,Tillis,North Carolina,Republican,13919227,Thom Tillis,NC,R
Pat,Toomey,Pennsylvania,Republican,30638133,Pat Toomey,PA,R
Tom,Udall,New Mexico,Democrat,8687804,Tom Udall,NM,D
Mark,Warner,Virginia,Democrat,17060003,Mark Warner,VA,D
Elizabeth,Warren,Massachusetts,Democrat,34897111,Elizabeth Warren,MA,D
Sheldon,Whitehouse,Rhode Island,Democrat,6608027,Sheldon Whitehouse,RI,D
Roger,Wicker,Mississippi,Republican,6568817,Roger Wicker,MS,R
Ron,Wyden,Oregon,Democrat,13705548,Ron Wyden,OR,D
Todd,Young,Indiana,Republican,11108033,Todd Young,IN,R
