Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes
Democrat,Ron Crumpton,Crumpton,Ron,AL,748709,Alabama,2087444
Democrat,Ray Metcalfe,Metcalfe,Ray,AK,36200,Alaska,311441
Democrat,Ann Kirkpatrick,Kirkpatrick,Ann,AZ,1031245,Arizona,2530730
Democrat,Conner Eldridge,Eldridge,Conner,AR,400602,Arkansas,1107522
Democrat,Loretta Sanchez,Sanchez,Loretta,CA,4701417,California,12244170
Democrat,Kamala D. Harris,Harris,Kamala,CA,7542753,California,12244170
Democrat,Michael F. Bennet,Bennet,Michael,CO,1370710,Colorado,2743023
Democrat,Richard Blumenthal,Blumenthal,Richard,CT,920766,Connecticut,1596276
Democrat,Patrick Murphy,Murphy,Patrick,FL,4122088,Florida,9301820
Democrat,Jim Barksdale,Barksdale,Jim,GA,1599726,Georgia,3898605
Democrat,Brian Schatz,Schatz,Brian,HI,306604,Hawaii,437664
Democrat,Jerry Sturgill,Sturgill,Jerry,ID,188249,Idaho,678943
Democrat,Tammy Duckworth,Duckworth,Tammy,IL,3012940,Illinois,5491878
Democrat,Evan Bayh,Bayh,Evan,IN,1158947,Indiana,2732546
Democrat,Patty Judge,Judge,Patty,IA,549460,Iowa,1541036
Democrat,Patrick Wiesner,Wiesner,Patrick,KS,379740,Kansas,1177922
Democrat,Jim Gray,Gray,Jim,KY,813246,Kentucky,1903465
Democrat,Derrick Edwards,Edwards,Derrick,LA,51774,Louisiana,1997218
Democrat,"M. V. ""Vinny""Mendoza","""Vinny""Mendoza",M.,LA,4927,Louisiana,1997218
Democrat,Caroline Fayard,Fayard,Caroline,LA,240917,Louisiana,1997218
Democrat,Peter Williams,Williams,Peter,LA,6855,Louisiana,1997218
Democrat,Joshua Pellerin,Pellerin,Joshua,LA,7395,Louisiana,1997218
Democrat,Gary Landrieu,Landrieu,Gary,LA,45587,Louisiana,1997218
Democrat,Foster Campbell,Campbell,Foster,LA,347816,Louisiana,1997218
Democrat,Chris Van Hollen,Hollen,Chris,MD,1659907,Maryland,2726170
Democrat,Jason Kander,Kander,Jason,MO,1300200,Missouri,2802641
Democrat,Catherine Cortez Masto,Masto,Catherine,NV,521994,Nevada,1108294
Democrat,Maggie Hassan,Hassan,Maggie,NH,354649,New Hampshire,739140
Democrat,Charles E. Schumer,Schumer,Charles,NY,4784220,New York,7800725
Democrat,Deborah K. Ross,Ross,Deborah,NC,2128165,North Carolina,4691133
Democrat,Eliot Glassheim,Glassheim,Eliot,ND,58116,North Dakota,342501
Democrat,Ted Strickland,Strickland,Ted,OH,1996908,Ohio,5374164
Democrat,Mike Workman,Workman,Mike,OK,355911,Oklahoma,1448047
Democrat,Ron Wyden,Wyden,Ron,OR,1105119,Oregon,1952478
Democrat,Katie McGinty,McGinty,Katie,PA,2865012,Pennsylvania,6051856
Democrat,Thomas Dixon,Dixon,Thomas,SC,704540,South Carolina,2049893
Democrat,Jay Williams,Williams,Jay,SD,104140,South Dakota,369656
Democrat,Misty K. Snow,Snow,Misty,UT,301858,Utah,1115583
Democrat,Patrick J. Leahy,Leahy,Patrick,VT,192243,Vermont,320467
Democrat,Patty Murray,Murray,Patty,WA,1913979,Washington,3243317
Democrat,Russ Feingold,Feingold,Russ,WI,1380335,Wisconsin,2948741
