,Party,Candidate,Last_Name,First_Name,State_Abbrv,Candidate_Votes,State,Total_Votes,lastName,Committee,Contributions,Election_Year,Assumed_Office
0,Democrat,Jack Reed,Reed,Jack,RI,223675,Rhode Island,316898,Reed,Armed Services,3960335,2014,1997
1,Democrat,Gary C. Peters,Peters,Gary,MI,1704936,Michigan,3121771,Peters,Homeland Security and Governmental Affairs,42543692,2019,2019
2,Democrat,Patrick J. Leahy,Leahy,Patrick,VT,192243,Vermont,320467,,Appropriations,4770988,2016,1975
3,Democrat,Ron Wyden,Wyden,Ron,OR,1105119,Oregon,1952478,,Finance,12628463,2016,1996
4,Democrat,Patty Murray,Murray,Patty,WA,1913979,Washington,3243317,,"Health, Education, Labor and Pensions",13524088,2016,1993
5,Democrat,Debbie Stabenow,Stabenow,Debbie,MI,2214478,Michigan,4237271,Stabenow,"Agriculture, Nutrition and Forestry",17570218,2018,2001
6,Democrat,Sherrod Brown,Brown,Sherrod,OH,2355923,Ohio,4410898,Brown,"Banking, Housing and Urban Affairs",28659987,2018,2007
7,independent,Bernie Sanders,Sanders,Bernie,VT,183529,Vermont,272624,Sanders,Budget,11795106,2018,2007
8,Democrat,Maria Cantwell,Cantwell,Maria,WA,1803364,Washington,3086168,Cantwell,"Commerce, Science and Transportation",11667705,2018,2001
9,Democrat,Joe Manchin,Manchin,Joe,WV,288808,West Virginia,582911,Manchin,Energy and Natural Resources,9375411,2018,2019
10,Democrat,Thomas R Carper,Carper,Thomas,DE,217385,Delaware,362592,Carper,Environment and Public Works,4262961,2018,2001
11,Democrat,Robert Menendez,Menendez,Robert,NJ,1711654,New Jersey,3169310,Menendez,Foreign Relations,12271086,2018,2006
12,Democrat,Dianne Feinstein,Feinstein,Dianne,CA,6019422,California,11113364,Feinstein,Judiciary,16092233,2018,1992
13,Democratic-Farmer-Labor,Amy Klobuchar,Klobuchar,Amy,MN,1566174,Minnesota,5184235,Klobuchar,Rules and Administration,10681536,2018,2007
14,Democrat,Ben Cardin,Cardin,Ben,MD,1491614,Maryland,2299889,Cardin,Small Business and Entrepreneurship,5071964,2018,2007
15,Democrat,Jon Tester,Tester,Jon,MT,253876,Montana,504384,Tester,Veterans' Affairs,20944242,2018,2007
