Candidate,State,Election_Year,Candidate_Votes,Total_Votes,Vote,Contributions,Committee,Categories,Committee_Order,Assumed_Office,Last_Name,First_Name,State_Abbrv,Vote_Share
Jack Reed,Rhode Island,2014,223675,316898,71%,3960335,Armed Services,SA,1,1997,Reed,Jack,RI,71
Bernie Sanders,Vermont,2018,183529,272624,67%,11795106,Budget,B,3,2007,Sanders,Bernie,VT,67
Ben Cardin,Maryland,2018,1491614,2299889,65%,5071964,Small Business and Entrepreneurship,A,2,2007,Cardin,Ben,MD,65
Patrick J. Leahy,Vermont,2016,192243,320467,60%,4770988,Appropriations,SA,1,1975,Leahy,Patrick,VT,60
Thomas R Carper,Delaware,2018,217385,362592,60%,4262961,Environment and Public Works,A,2,2001,Carper,Thomas,DE,60
Patty Murray,Washington,2016,1913979,3243317,59%,13524088,"Health, Education, Labor and Pensions",A,2,1993,Murray,Patty,WA,59
Maria Cantwell,Washington,2018,1803364,3086168,58%,11667705,"Commerce, Science and Transportation",A,2,2001,Cantwell,Maria,WA,58
Ron Wyden,Oregon,2016,1105119,1952478,57%,12628463,Finance,SA,1,1996,Wyden,Ron,OR,57
Tom Udall,New Mexico,2014,286409,515506,56%,8441116,Indian Affairs,C,4,2008,Udall,Tom,NM,56
Chris Coons,Delaware,2014,130655,234038,56%,9676246,Ethics,C,4,2010,Coons,Chris,DE,56
Gary C. Peters,Michigan,2019,1704936,3121771,55%,42543692,Homeland Security and Governmental Affairs,A,2,2019,Peters,Gary,MI,55
Robert Menendez,New Jersey,2018,1711654,3169310,54%,12271086,Foreign Relations,SA,1,2006,Menendez,Robert,NJ,54
Dianne Feinstein,California,2018,6019422,11113364,54%,16092233,Judiciary,A,2,1992,Feinstein,Dianne,CA,54
Sherrod Brown,Ohio,2018,2355923,4410898,53%,28659987,"Banking, Housing and Urban Affairs",A,2,2007,Brown,Sherrod,OH,53
Debbie Stabenow,Michigan,2018,2214478,4237271,52%,17570218,"Agriculture, Nutrition and Forestry",A,2,2001,Stabenow,Debbie,MI,52
Jon Tester,Montana,2018,253876,504384,50%,20944242,Veterans' Affairs,B,3,2007,Tester,Jon,MT,50
Joe Manchin,West Virginia,2018,288808,582911,50%,9375411,Energy and Natural Resources,A,2,2019,Manchin,Joe,WV,50
Mark Warner,Virgina,2014,1073667,2184473,49%,17098544,Intelligence,A,2,1996,Warner,Mark,VA,49
Amy Klobuchar,Minnesota,2018,1566174,5184235,30%,10681536,Rules and Administration,B,3,2007,Klobuchar,Amy,MN,30
"Robert ""Bob"" Casey Jr",Pennsylvania,2018,2777680,21266619,13%,21266619,Aging,B,3,2006,Casey,Robert,PA,13
